MUNICIPIO;ANO;MES;NATUREZA;TOTAL
Acorizal;2017;1;Homicidio doloso;0
Acorizal;2017;2;Homicidio doloso;0
Acorizal;2017;3;Homicidio doloso;0
Acorizal;2017;4;Homicidio doloso;0
Acorizal;2017;5;Homicidio doloso;0
Acorizal;2017;6;Homicidio doloso;0
Acorizal;2017;7;Homicidio doloso;0
Acorizal;2017;8;Homicidio doloso;0
Acorizal;2017;9;Homicidio doloso;0
Acorizal;2017;10;Homicidio doloso;0
Acorizal;2017;11;Homicidio doloso;0
Acorizal;2017;12;Homicidio doloso;0
Acorizal;2018;1;Homicidio doloso;0
Acorizal;2018;2;Homicidio doloso;0
Acorizal;2018;3;Homicidio doloso;0
Acorizal;2018;4;Homicidio doloso;0
Acorizal;2018;5;Homicidio doloso;0
Acorizal;2018;6;Homicidio doloso;0
Acorizal;2018;7;Homicidio doloso;0
Acorizal;2018;8;Homicidio doloso;0
Acorizal;2018;9;Homicidio doloso;0
Acorizal;2018;10;Homicidio doloso;0
Acorizal;2018;11;Homicidio doloso;0
Acorizal;2018;12;Homicidio doloso;0
Acorizal;2019;1;Homicidio doloso;0
Acorizal;2019;2;Homicidio doloso;0
Acorizal;2019;3;Homicidio doloso;0
Acorizal;2019;4;Homicidio doloso;0
Acorizal;2019;5;Homicidio doloso;0
Acorizal;2019;6;Homicidio doloso;0
Acorizal;2019;7;Homicidio doloso;0
Acorizal;2019;8;Homicidio doloso;0
Acorizal;2019;9;Homicidio doloso;0
Acorizal;2019;10;Homicidio doloso;0
Acorizal;2019;11;Homicidio doloso;0
Acorizal;2019;12;Homicidio doloso;0
Acorizal;2017;1;Roubo total;1
Acorizal;2017;2;Roubo total;1
Acorizal;2017;3;Roubo total;0
Acorizal;2017;4;Roubo total;1
Acorizal;2017;5;Roubo total;0
Acorizal;2017;6;Roubo total;2
Acorizal;2017;7;Roubo total;1
Acorizal;2017;8;Roubo total;2
Acorizal;2017;9;Roubo total;2
Acorizal;2017;10;Roubo total;2
Acorizal;2017;11;Roubo total;2
Acorizal;2017;12;Roubo total;1
Acorizal;2018;1;Roubo total;0
Acorizal;2018;2;Roubo total;0
Acorizal;2018;3;Roubo total;0
Acorizal;2018;4;Roubo total;0
Acorizal;2018;5;Roubo total;0
Acorizal;2018;6;Roubo total;0
Acorizal;2018;7;Roubo total;0
Acorizal;2018;8;Roubo total;0
Acorizal;2018;9;Roubo total;0
Acorizal;2018;10;Roubo total;0
Acorizal;2018;11;Roubo total;0
Acorizal;2018;12;Roubo total;0
Acorizal;2019;1;Roubo total;1
